"step_idx","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step__MIN","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - _step__MAX","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)__MIN","15_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win_2090 - train mean (50 episode rewards)__MAX"
"1850","17","17","17","191.8816569954514","191.8816569954514","191.8816569954514"
"1910","18","18","18","189.27902315390546","189.27902315390546","189.27902315390546"
"2004","19","19","19","191.26730342212923","191.26730342212923","191.26730342212923"
"2068","20","20","20","189.40019555016573","189.40019555016573","189.40019555016573"
"2127","21","21","21","187.74480056318382","187.74480056318382","187.74480056318382"
"2186","22","22","22","185.93892015800978","185.93892015800978","185.93892015800978"
"2247","23","23","23","184.55371898516796","184.55371898516796","184.55371898516796"
"2310","24","24","24","183.27911549176827","183.27911549176827","183.27911549176827"
"2368","25","25","25","182.02283309915043","182.02283309915043","182.02283309915043"
"2425","26","26","26","180.44760302380368","180.44760302380368","180.44760302380368"
"2490","27","27","27","179.9099309070611","179.9099309070611","179.9099309070611"
"2548","28","28","28","178.77143477235958","178.77143477235958","178.77143477235958"
"2727","29","29","29","188.94166152732888","188.94166152732888","188.94166152732888"
"2833","30","30","30","191.09405579498505","191.09405579498505","191.09405579498505"
"2925","31","31","31","193.85389385356999","193.85389385356999","193.85389385356999"
"3249","32","32","32","216.8712131164397","216.8712131164397","216.8712131164397"
"3398","33","33","33","219.63727399935277","219.63727399935277","219.63727399935277"
"3468","34","34","34","218.51725346383938","218.51725346383938","218.51725346383938"
"3532","35","35","35","216.60213959898476","216.60213959898476","216.60213959898476"
"3590","36","36","36","214.88187526663563","214.88187526663563","214.88187526663563"
"3648","37","37","37","212.89822876436583","212.89822876436583","212.89822876436583"
"3704","38","38","38","211.18959014298866","211.18959014298866","211.18959014298866"
"3869","39","39","39","218.23845301593502","218.23845301593502","218.23845301593502"
"3989","40","40","40","221.96709706875038","221.96709706875038","221.96709706875038"
"4061","41","41","41","220.47618053149745","220.47618053149745","220.47618053149745"
"4158","42","42","42","222.62497831472217","222.62497831472217","222.62497831472217"
"4271","43","43","43","224.8923372526744","224.8923372526744","224.8923372526744"
"4346","44","44","44","224.37198473431351","224.37198473431351","224.37198473431351"
"4420","45","45","45","223.6517256557914","223.6517256557914","223.6517256557914"
"4485","46","46","46","222.17723498148456","222.17723498148456","222.17723498148456"
"4545","47","47","47","220.8344853856977","220.8344853856977","220.8344853856977"
"4601","48","48","48","219.0292009068019","219.0292009068019","219.0292009068019"
"4831","49","49","49","224.82620938917617","224.82620938917617","224.82620938917617"
"4931","50","50","50","213.47980934537745","213.47980934537745","213.47980934537745"
"4991","51","51","51","212.1401215726688","212.1401215726688","212.1401215726688"
"5047","52","52","52","211.61880932767065","211.61880932767065","211.61880932767065"
"5105","53","53","53","211.22641295174748","211.22641295174748","211.22641295174748"
"5166","54","54","54","211.61634242312684","211.61634242312684","211.61634242312684"
"5226","55","55","55","211.775488800588","211.775488800588","211.775488800588"
"5290","56","56","56","212.11393996253364","212.11393996253364","212.11393996253364"
"5348","57","57","57","212.25246283157583","212.25246283157583","212.25246283157583"
"5406","58","58","58","212.09941771739457","212.09941771739457","212.09941771739457"
"5541","59","59","59","214.9489007669694","214.9489007669694","214.9489007669694"
"5664","60","60","60","220.2836468791755","220.2836468791755","220.2836468791755"
"5779","61","61","61","224.80332254499825","224.80332254499825","224.80332254499825"
"5906","62","62","62","228.51150055685991","228.51150055685991","228.51150055685991"
"5993","63","63","63","229.82931280871588","229.82931280871588","229.82931280871588"
"6096","64","64","64","232.6312216803386","232.6312216803386","232.6312216803386"
"6178","65","65","65","233.9973408795313","233.9973408795313","233.9973408795313"
"6297","66","66","66","237.90211129195433","237.90211129195433","237.90211129195433"
"6404","67","67","67","241.01596632323003","241.01596632323003","241.01596632323003"
"6512","68","68","68","242.09484340602046","242.09484340602046","242.09484340602046"
"6662","69","69","69","245.55042807224584","245.55042807224584","245.55042807224584"
"6784","70","70","70","249.12939407929167","249.12939407929167","249.12939407929167"
"6917","71","71","71","251.1149654283998","251.1149654283998","251.1149654283998"
"7179","72","72","72","261.51381328891193","261.51381328891193","261.51381328891193"
"7258","73","73","73","261.1137322739944","261.1137322739944","261.1137322739944"
"7345","74","74","74","261.9622750813733","261.9622750813733","261.9622750813733"
"7425","75","75","75","262.2951570034683","262.2951570034683","262.2951570034683"
"7498","76","76","76","263.3484531443434","263.3484531443434","263.3484531443434"
"7572","77","77","77","263.42935952801804","263.42935952801804","263.42935952801804"
"7648","78","78","78","264.32879668603607","264.32879668603607","264.32879668603607"
"7807","79","79","79","261.26943746901065","261.26943746901065","261.26943746901065"
