"step_idx","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MAX","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###__MAX"
"4336","57","57","57","148.81863957311893","148.81863957311893","148.81863957311893"
"4391","58","58","58","133.11930118373186","133.11930118373186","133.11930118373186"
"4486","59","59","59","217.37053314709124","217.37053314709124","217.37053314709124"
"4546","60","60","60","145.93282895752088","145.93282895752088","145.93282895752088"
"4601","61","61","61","145.72783655393877","145.72783655393877","145.72783655393877"
"4656","62","62","62","132.25465888641207","132.25465888641207","132.25465888641207"
"4717","63","63","63","154.0516668881619","154.0516668881619","154.0516668881619"
"4771","64","64","64","133.53448630476626","133.53448630476626","133.53448630476626"
"4825","65","65","65","135.09070975227553","135.09070975227553","135.09070975227553"
"4889","66","66","66","165.34696631058554","165.34696631058554","165.34696631058554"
"4950","67","67","67","151.92140641551524","151.92140641551524","151.92140641551524"
"5012","68","68","68","157.825304325072","157.825304325072","157.825304325072"
"5108","69","69","69","222.91451790845292","222.91451790845292","222.91451790845292"
"5171","70","70","70","159.5308391475545","159.5308391475545","159.5308391475545"
"5228","71","71","71","147.8332257994391","147.8332257994391","147.8332257994391"
"5284","72","72","72","143.0598211922328","143.0598211922328","143.0598211922328"
"5338","73","73","73","134.59665231103676","134.59665231103676","134.59665231103676"
"5390","74","74","74","134.60332733820442","134.60332733820442","134.60332733820442"
"5446","75","75","75","137.2095119683748","137.2095119683748","137.2095119683748"
"5500","76","76","76","140.02151902739385","140.02151902739385","140.02151902739385"
"5555","77","77","77","135.14780222374506","135.14780222374506","135.14780222374506"
"5610","78","78","78","142.71735235941887","142.71735235941887","142.71735235941887"
"5707","79","79","79","225.01076685765216","225.01076685765216","225.01076685765216"
