"step_idx","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MIN","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MAX","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MIN","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MAX"
"2443","27","27","27","205.14496687412952","205.14496687412952","205.14496687412952"
"2501","28","28","28","202.84271467238878","202.84271467238878","202.84271467238878"
"2595","29","29","29","202.98748486482964","202.98748486482964","202.98748486482964"
"2653","30","30","30","201.08468592194532","201.08468592194532","201.08468592194532"
"2712","31","31","31","199.63761485913872","199.63761485913872","199.63761485913872"
"2773","32","32","32","198.55028957208108","198.55028957208108","198.55028957208108"
"2830","33","33","33","196.74586723014698","196.74586723014698","196.74586723014698"
"2886","34","34","34","195.5803045096245","195.5803045096245","195.5803045096245"
"2937","35","35","35","193.3994302756335","193.3994302756335","193.3994302756335"
"2993","36","36","36","192.36568265433937","192.36568265433937","192.36568265433937"
"3052","37","37","37","190.69216244802192","190.69216244802192","190.69216244802192"
"3111","38","38","38","190.03404495697083","190.03404495697083","190.03404495697083"
"3215","39","39","39","191.17833112921207","191.17833112921207","191.17833112921207"
"3280","40","40","40","190.4151223370185","190.4151223370185","190.4151223370185"
"3337","41","41","41","189.39348632754115","189.39348632754115","189.39348632754115"
"3397","42","42","42","188.37031015131785","188.37031015131785","188.37031015131785"
"3456","43","43","43","187.55067282301331","187.55067282301331","187.55067282301331"
"3530","44","44","44","187.42737137933614","187.42737137933614","187.42737137933614"
"3593","45","45","45","186.7989165749174","186.7989165749174","186.7989165749174"
"3658","46","46","46","186.28348170484213","186.28348170484213","186.28348170484213"
"3728","47","47","47","186.0259041598446","186.0259041598446","186.0259041598446"
"3790","48","48","48","185.41735091218135","185.41735091218135","185.41735091218135"
"3884","49","49","49","185.97696279560677","185.97696279560677","185.97696279560677"
"3954","50","50","50","159.94487299910688","159.94487299910688","159.94487299910688"
"4039","51","51","51","161.1120167721899","161.1120167721899","161.1120167721899"
"4123","52","52","52","160.6680388066613","160.6680388066613","160.6680388066613"
"4199","53","53","53","160.9388456322816","160.9388456322816","160.9388456322816"
"4308","54","54","54","163.61030786655007","163.61030786655007","163.61030786655007"
"4446","55","55","55","169.97286353781237","169.97286353781237","169.97286353781237"
"4565","56","56","56","174.0940840522952","174.0940840522952","174.0940840522952"
"4834","57","57","57","189.2007480798446","189.2007480798446","189.2007480798446"
"4911","58","58","58","189.7371469136293","189.7371469136293","189.7371469136293"
"5080","59","59","59","190.75711387872084","190.75711387872084","190.75711387872084"
"5210","60","60","60","194.70965929318362","194.70965929318362","194.70965929318362"
"5337","61","61","61","199.8288238786291","199.8288238786291","199.8288238786291"
"5513","62","62","62","207.44134322574575","207.44134322574575","207.44134322574575"
"5652","63","63","63","213.5627488616628","213.5627488616628","213.5627488616628"
"5736","64","64","64","214.7559905268888","214.7559905268888","214.7559905268888"
"5870","65","65","65","220.9841129973682","220.9841129973682","220.9841129973682"
"5935","66","66","66","221.5775676404288","221.5775676404288","221.5775676404288"
"6051","67","67","67","225.54127748980628","225.54127748980628","225.54127748980628"
"6171","68","68","68","229.5106953349971","229.5106953349971","229.5106953349971"
"6324","69","69","69","232.28115763296216","232.28115763296216","232.28115763296216"
"6460","70","70","70","235.45128128610392","235.45128128610392","235.45128128610392"
"7211","71","71","71","277.4983861047107","277.4983861047107","277.4983861047107"
"7333","72","72","72","281.60633197660275","281.60633197660275","281.60633197660275"
"7407","73","73","73","282.4435098502139","282.4435098502139","282.4435098502139"
"7494","74","74","74","284.41225135472405","284.41225135472405","284.41225135472405"
"7667","75","75","75","291.8277107866416","291.8277107866416","291.8277107866416"
"7757","76","76","76","294.18346540215754","294.18346540215754","294.18346540215754"
"7887","77","77","77","298.9718384560164","298.9718384560164","298.9718384560164"
"8222","78","78","78","316.03706365731415","316.03706365731415","316.03706365731415"
"8557","79","79","79","330.69325942207644","330.69325942207644","330.69325942207644"
"8726","80","80","80","337.8520149278925","337.8520149278925","337.8520149278925"
"8832","81","81","81","340.71771948441693","340.71771948441693","340.71771948441693"
"8963","82","82","82","345.41823852646087","345.41823852646087","345.41823852646087"
"9145","83","83","83","353.40513193109035","353.40513193109035","353.40513193109035"
"9299","84","84","84","359.0173548952745","359.0173548952745","359.0173548952745"
"9447","85","85","85","364.68980704144616","364.68980704144616","364.68980704144616"
"9597","86","86","86","370.59049023334074","370.59049023334074","370.59049023334074"
"9720","87","87","87","374.80363198096325","374.80363198096325","374.80363198096325"
"9879","88","88","88","381.1740794345417","381.1740794345417","381.1740794345417"
"10238","89","89","89","396.9743376571776","396.9743376571776","396.9743376571776"
"10383","90","90","90","402.37793011029476","402.37793011029476","402.37793011029476"
"10495","91","91","91","406.04174292437506","406.04174292437506","406.04174292437506"
"10599","92","92","92","409.089188742395","409.089188742395","409.089188742395"
"10709","93","93","93","412.4226389463251","412.4226389463251","412.4226389463251"
"10888","94","94","94","419.05640265846887","419.05640265846887","419.05640265846887"
"11012","95","95","95","423.3877665199935","423.3877665199935","423.3877665199935"
"11109","96","96","96","425.7949093092726","425.7949093092726","425.7949093092726"
"11217","97","97","97","428.21719790265297","428.21719790265297","428.21719790265297"
"11343","98","98","98","432.84314555773267","432.84314555773267","432.84314555773267"
"11513","99","99","99","437.53705130585416","437.53705130585416","437.53705130585416"
"11825","100","100","100","453.7498959641291","453.7498959641291","453.7498959641291"
"11888","101","101","101","452.58974164177454","452.58974164177454","452.58974164177454"
"11951","102","102","102","451.6568469859002","451.6568469859002","451.6568469859002"
"12014","103","103","103","450.9583853831054","450.9583853831054","450.9583853831054"
"12073","104","104","104","447.9551414704699","447.9551414704699","447.9551414704699"
"12133","105","105","105","441.9587404306767","441.9587404306767","441.9587404306767"
"12192","106","106","106","438.04560728929295","438.04560728929295","438.04560728929295"
"12249","107","107","107","423.1657805947809","423.1657805947809","423.1657805947809"
"12301","108","108","108","422.13676107725047","422.13676107725047","422.13676107725047"
"12490","109","109","109","428.0759230283473","428.0759230283473","428.0759230283473"
"12653","110","110","110","429.7509915296255","429.7509915296255","429.7509915296255"
"12780","111","111","111","428.4444417663518","428.4444417663518","428.4444417663518"
"12897","112","112","112","425.972623229741","425.972623229741","425.972623229741"
"12998","113","113","113","422.64072540388156","422.64072540388156","422.64072540388156"
"13100","114","114","114","423.4893335314456","423.4893335314456","423.4893335314456"
"13187","115","115","115","420.63552335355166","420.63552335355166","420.63552335355166"
"13285","116","116","116","421.79405648954497","421.79405648954497","421.79405648954497"
"13378","117","117","117","420.3031943221898","420.3031943221898","420.3031943221898"
"13502","118","118","118","421.9189627738043","421.9189627738043","421.9189627738043"
"13696","119","119","119","425.69188276504775","425.69188276504775","425.69188276504775"
"13755","120","120","120","422.2834420562644","422.2834420562644","422.2834420562644"
"13813","121","121","121","379.9667374611249","379.9667374611249","379.9667374611249"
"13870","122","122","122","375.49593691762306","375.49593691762306","375.49593691762306"
"13925","123","123","123","374.1015889351246","374.1015889351246","374.1015889351246"
"13981","124","124","124","371.9108832806032","371.9108832806032","371.9108832806032"
"14037","125","125","125","364.0203037553955","364.0203037553955","364.0203037553955"
"14092","126","126","126","361.7909967660577","361.7909967660577","361.7909967660577"
"14147","127","127","127","356.8177656515914","356.8177656515914","356.8177656515914"
"14203","128","128","128","339.92235414634126","339.92235414634126","339.92235414634126"
"14392","129","129","129","331.27981045652734","331.27981045652734","331.27981045652734"
"14543","130","130","130","330.46727464271856","330.46727464271856","330.46727464271856"
"14646","131","131","131","329.48426659520044","329.48426659520044","329.48426659520044"
"14770","132","132","132","330.8772664345036","330.8772664345036","330.8772664345036"
"15099","133","133","133","340.9827054196002","340.9827054196002","340.9827054196002"
"15179","134","134","134","335.7743709979443","335.7743709979443","335.7743709979443"
"15235","135","135","135","330.7183237130021","330.7183237130021","330.7183237130021"
"15301","136","136","136","324.8053343626188","324.8053343626188","324.8053343626188"
"15360","137","137","137","321.17381144668997","321.17381144668997","321.17381144668997"
"15420","138","138","138","314.364567379702","314.364567379702","314.364567379702"
"15566","139","139","139","302.61277759822326","302.61277759822326","302.61277759822326"
"15625","140","140","140","297.0200594633749","297.0200594633749","297.0200594633749"
"15680","141","141","141","293.3796008451062","293.3796008451062","293.3796008451062"
"15742","142","142","142","290.36468808840345","290.36468808840345","290.36468808840345"
"15801","143","143","143","287.04789323838185","287.04789323838185","287.04789323838185"
"15860","144","144","144","279.6707133016026","279.6707133016026","279.6707133016026"
"15918","145","145","145","275.1456579140834","275.1456579140834","275.1456579140834"
"15975","146","146","146","272.2974933781289","272.2974933781289","272.2974933781289"
"16027","147","147","147","269.0587494456984","269.0587494456984","269.0587494456984"
"16090","148","148","148","264.46085693638656","264.46085693638656","264.46085693638656"
"16231","149","149","149","263.63527716786245","263.63527716786245","263.63527716786245"
"16296","150","150","150","247.0646632246314","247.0646632246314","247.0646632246314"
"16351","151","151","151","246.60587162974628","246.60587162974628","246.60587162974628"
"16410","152","152","152","246.34644978505247","246.34644978505247","246.34644978505247"
"16474","153","153","153","246.48077560684334","246.48077560684334","246.48077560684334"
"16537","154","154","154","246.5647450187513","246.5647450187513","246.5647450187513"
"16602","155","155","155","246.84693734685624","246.84693734685624","246.84693734685624"
"16655","156","156","156","246.48972662397227","246.48972662397227","246.48972662397227"
"16710","157","157","157","246.49799123916287","246.49799123916287","246.49799123916287"
"16765","158","158","158","246.5564943498423","246.5564943498423","246.5564943498423"
"17052","159","159","159","253.26544274018448","253.26544274018448","253.26544274018448"
"17155","160","160","160","251.46482279793705","251.46482279793705","251.46482279793705"
"17208","161","161","161","247.09225829373082","247.09225829373082","247.09225829373082"
"17264","162","162","162","242.01680902938733","242.01680902938733","242.01680902938733"
"17324","163","163","163","238.93534376001688","238.93534376001688","238.93534376001688"
"17376","164","164","164","236.82236003717117","236.82236003717117","236.82236003717117"
"17425","165","165","165","232.73711694199167","232.73711694199167","232.73711694199167"
"17476","166","166","166","231.24458497779509","231.24458497779509","231.24458497779509"
"17527","167","167","167","228.38492391976516","228.38492391976516","228.38492391976516"
"17576","168","168","168","222.57006467171425","222.57006467171425","222.57006467171425"
"17718","169","169","169","219.29781179343382","219.29781179343382","219.29781179343382"
"17785","170","170","170","219.53281800891023","219.53281800891023","219.53281800891023"
"17848","171","171","171","219.79571096163932","219.79571096163932","219.79571096163932"
"17904","172","172","172","219.45981959196612","219.45981959196612","219.45981959196612"
"17958","173","173","173","219.5307541818778","219.5307541818778","219.5307541818778"
"18008","174","174","174","219.03426505042168","219.03426505042168","219.03426505042168"
"18056","175","175","175","218.8085868246852","218.8085868246852","218.8085868246852"
"18103","176","176","176","218.15708597189743","218.15708597189743","218.15708597189743"
"18158","177","177","177","218.40519886758022","218.40519886758022","218.40519886758022"
"18212","178","178","178","218.1027422245931","218.1027422245931","218.1027422245931"
"18453","179","179","179","221.53928666217374","221.53928666217374","221.53928666217374"
"18572","180","180","180","219.42044682556735","219.42044682556735","219.42044682556735"
"18665","181","181","181","219.31254751012776","219.31254751012776","219.31254751012776"
"18802","182","182","182","217.2628138319953","217.2628138319953","217.2628138319953"
"18961","183","183","183","206.8536188415641","206.8536188415641","206.8536188415641"
"19098","184","184","184","213.05196707110971","213.05196707110971","213.05196707110971"
"19163","185","185","185","213.2758548142458","213.2758548142458","213.2758548142458"
"19222","186","186","186","213.1685987885386","213.1685987885386","213.1685987885386"
"19284","187","187","187","213.12209970332643","213.12209970332643","213.12209970332643"
"19345","188","188","188","213.38638835121947","213.38638835121947","213.38638835121947"
"19470","189","189","189","212.33588975029593","212.33588975029593","212.33588975029593"
"19534","190","190","190","212.87582393998736","212.87582393998736","212.87582393998736"
"19586","191","191","191","212.30579735138662","212.30579735138662","212.30579735138662"
"19640","192","192","192","212.21576631127806","212.21576631127806","212.21576631127806"
"19696","193","193","193","211.7891469810723","211.7891469810723","211.7891469810723"
"19758","194","194","194","212.1413083519735","212.1413083519735","212.1413083519735"
"19819","195","195","195","212.03969404232765","212.03969404232765","212.03969404232765"
"19881","196","196","196","212.58857742067372","212.58857742067372","212.58857742067372"
"19946","197","197","197","212.91369138689882","212.91369138689882","212.91369138689882"
"20007","198","198","198","213.04864997413932","213.04864997413932","213.04864997413932"
"20149","199","199","199","213.60076160265055","213.60076160265055","213.60076160265055"
"20209","200","200","200","213.66077431417844","213.66077431417844","213.66077431417844"
"20259","201","201","201","213.49139767079498","213.49139767079498","213.49139767079498"
"20308","202","202","202","213.25331215862354","213.25331215862354","213.25331215862354"
"20360","203","203","203","212.4789297199443","212.4789297199443","212.4789297199443"
"20415","204","204","204","212.1909511033631","212.1909511033631","212.1909511033631"
"20468","205","205","205","211.55177831648948","211.55177831648948","211.55177831648948"
"20521","206","206","206","211.60389493938249","211.60389493938249","211.60389493938249"
"20573","207","207","207","211.43258273122865","211.43258273122865","211.43258273122865"
"20623","208","208","208","211.22828713369233","211.22828713369233","211.22828713369233"
"20755","209","209","209","200.4060066722577","200.4060066722577","200.4060066722577"
"20822","210","210","210","196.69884787072823","196.69884787072823","196.69884787072823"
"20889","211","211","211","198.0465842524801","198.0465842524801","198.0465842524801"
"20948","212","212","212","198.03222473571788","198.03222473571788","198.03222473571788"
"21005","213","213","213","198.0444839687995","198.0444839687995","198.0444839687995"
"21053","214","214","214","197.82784725065426","197.82784725065426","197.82784725065426"
"21101","215","215","215","197.8786634736251","197.8786634736251","197.8786634736251"
"21150","216","216","216","197.7020734370303","197.7020734370303","197.7020734370303"
"21203","217","217","217","197.91398675348736","197.91398675348736","197.91398675348736"
"21257","218","218","218","198.04745789933938","198.04745789933938","198.04745789933938"
"21384","219","219","219","197.32786468572664","197.32786468572664","197.32786468572664"
"21456","220","220","220","197.76019860114377","197.76019860114377","197.76019860114377"
"21515","221","221","221","197.42481666764053","197.42481666764053","197.42481666764053"
"21569","222","222","222","197.86950301837845","197.86950301837845","197.86950301837845"
"21625","223","223","223","197.6296804208765","197.6296804208765","197.6296804208765"
"21679","224","224","224","198.45896185901253","198.45896185901253","198.45896185901253"
"21743","225","225","225","198.75916108141476","198.75916108141476","198.75916108141476"
"21803","226","226","226","200.15171241795267","200.15171241795267","200.15171241795267"
"21858","227","227","227","199.63144875095443","199.63144875095443","199.63144875095443"
"21920","228","228","228","200.4201711712533","200.4201711712533","200.4201711712533"
"22051","229","229","229","194.72955487762025","194.72955487762025","194.72955487762025"
"22111","230","230","230","190.17501693964525","190.17501693964525","190.17501693964525"
"22167","231","231","231","188.42358416017305","188.42358416017305","188.42358416017305"
"22222","232","232","232","183.58703597459987","183.58703597459987","183.58703597459987"
"22281","233","233","233","176.52379342759127","176.52379342759127","176.52379342759127"
"22336","234","234","234","169.15561816843186","169.15561816843186","169.15561816843186"
"22393","235","235","235","169.1928862843548","169.1928862843548","169.1928862843548"
"22453","236","236","236","168.90573650352616","168.90573650352616","168.90573650352616"
"22511","237","237","237","169.01737019362437","169.01737019362437","169.01737019362437"
"22568","238","238","238","168.50644369868","168.50644369868","168.50644369868"
"22716","239","239","239","169.1668833951428","169.1668833951428","169.1668833951428"
"22776","240","240","240","168.8203444333251","168.8203444333251","168.8203444333251"
"22828","241","241","241","169.22820276016373","169.22820276016373","169.22820276016373"
"22879","242","242","242","168.90471499457064","168.90471499457064","168.90471499457064"
"22932","243","243","243","168.98075422601156","168.98075422601156","168.98075422601156"
"22987","244","244","244","168.34952339616459","168.34952339616459","168.34952339616459"
"23047","245","245","245","168.6026904814811","168.6026904814811","168.6026904814811"
"23105","246","246","246","168.03085829699933","168.03085829699933","168.03085829699933"
"23166","247","247","247","168.2596210011613","168.2596210011613","168.2596210011613"
"23224","248","248","248","167.76900140871373","167.76900140871373","167.76900140871373"
"23379","249","249","249","167.74495671257318","167.74495671257318","167.74495671257318"
"23448","250","250","250","168.40657922399205","168.40657922399205","168.40657922399205"
"23505","251","251","251","168.35063205979964","168.35063205979964","168.35063205979964"
"23566","252","252","252","168.94390161796852","168.94390161796852","168.94390161796852"
"23622","253","253","253","169.1117710211383","169.1117710211383","169.1117710211383"
"23676","254","254","254","169.1353071769841","169.1353071769841","169.1353071769841"
"23729","255","255","255","169.08863076792892","169.08863076792892","169.08863076792892"
"23779","256","256","256","169.0128245750819","169.0128245750819","169.0128245750819"
"23830","257","257","257","168.92951970819828","168.92951970819828","168.92951970819828"
"23886","258","258","258","169.2901037900339","169.2901037900339","169.2901037900339"
"24087","259","259","259","175.4934976957043","175.4934976957043","175.4934976957043"
"24152","260","260","260","175.99334431581244","175.99334431581244","175.99334431581244"
"24218","261","261","261","175.42964517689555","175.42964517689555","175.42964517689555"
"24278","262","262","262","175.75917013696736","175.75917013696736","175.75917013696736"
"24337","263","263","263","175.8548943469241","175.8548943469241","175.8548943469241"
"24390","264","264","264","176.02954520108813","176.02954520108813","176.02954520108813"
"24442","265","265","265","176.2563075973272","176.2563075973272","176.2563075973272"
"24493","266","266","266","176.33203506208466","176.33203506208466","176.33203506208466"
"24543","267","267","267","176.21334637161337","176.21334637161337","176.21334637161337"
"24606","268","268","268","176.69223595148026","176.69223595148026","176.69223595148026"
"24733","269","269","269","176.4787359646831","176.4787359646831","176.4787359646831"
"24838","270","270","270","180.10717023487746","180.10717023487746","180.10717023487746"
"24894","271","271","271","179.92853172967196","179.92853172967196","179.92853172967196"
"24947","272","272","272","179.6883629538996","179.6883629538996","179.6883629538996"
"25006","273","273","273","179.77400468867148","179.77400468867148","179.77400468867148"
"25063","274","274","274","179.65686823779026","179.65686823779026","179.65686823779026"
"25120","275","275","275","179.47984048464457","179.47984048464457","179.47984048464457"
"25176","276","276","276","178.94102446727456","178.94102446727456","178.94102446727456"
"25231","277","277","277","179.08005756276273","179.08005756276273","179.08005756276273"
"25281","278","278","278","178.40935687654292","178.40935687654292","178.40935687654292"
"25422","279","279","279","178.96545576016956","178.96545576016956","178.96545576016956"
"25485","280","280","280","179.14367116068388","179.14367116068388","179.14367116068388"
"25546","281","281","281","179.2623700854691","179.2623700854691","179.2623700854691"
"25605","282","282","282","179.77023207768138","179.77023207768138","179.77023207768138"
"25664","283","283","283","179.40314338284418","179.40314338284418","179.40314338284418"
"25720","284","284","284","180.16107732756808","180.16107732756808","180.16107732756808"
"25775","285","285","285","179.5999745046651","179.5999745046651","179.5999745046651"
"25829","286","286","286","179.79399176080443","179.79399176080443","179.79399176080443"
"25884","287","287","287","179.27331851078222","179.27331851078222","179.27331851078222"
"25933","288","288","288","179.21941001461903","179.21941001461903","179.21941001461903"
"26058","289","289","289","178.2660328736866","178.2660328736866","178.2660328736866"
"26122","290","290","290","178.38480850365832","178.38480850365832","178.38480850365832"
"26183","291","291","291","178.37898122023486","178.37898122023486","178.37898122023486"
"26239","292","292","292","178.73867063720138","178.73867063720138","178.73867063720138"
"26290","293","293","293","178.51150384758512","178.51150384758512","178.51150384758512"
"26342","294","294","294","178.61556957824774","178.61556957824774","178.61556957824774"
"26398","295","295","295","178.22903255967066","178.22903255967066","178.22903255967066"
"26453","296","296","296","178.33867869709036","178.33867869709036","178.33867869709036"
"26512","297","297","297","178.00421414088655","178.00421414088655","178.00421414088655"
"26565","298","298","298","177.97227059063573","177.97227059063573","177.97227059063573"
"27220","299","299","299","217.97863651909705","217.97863651909705","217.97863651909705"
"27304","300","300","300","218.99641367981644","218.99641367981644","218.99641367981644"
"27365","301","301","301","219.1044585519628","219.1044585519628","219.1044585519628"
"27423","302","302","302","219.136382993988","219.136382993988","219.136382993988"
"27491","303","303","303","219.549213191301","219.549213191301","219.549213191301"
"27549","304","304","304","219.95215646802637","219.95215646802637","219.95215646802637"
"27606","305","305","305","220.01787369798316","220.01787369798316","220.01787369798316"
"27667","306","306","306","220.69092399901447","220.69092399901447","220.69092399901447"
"27720","307","307","307","220.6299781927841","220.6299781927841","220.6299781927841"
"27772","308","308","308","220.52971200478223","220.52971200478223","220.52971200478223"
"27908","309","309","309","215.48591714575616","215.48591714575616","215.48591714575616"
"27973","310","310","310","214.79048429707797","214.79048429707797","214.79048429707797"
"28034","311","311","311","214.80448445682342","214.80448445682342","214.80448445682342"
"28090","312","312","312","214.59414830807742","214.59414830807742","214.59414830807742"
"28141","313","313","313","214.03462538517817","214.03462538517817","214.03462538517817"
"28196","314","314","314","214.43891237801904","214.43891237801904","214.43891237801904"
"28249","315","315","315","214.18583380204004","214.18583380204004","214.18583380204004"
"28303","316","316","316","214.5961298814535","214.5961298814535","214.5961298814535"
"28359","317","317","317","214.6731100199042","214.6731100199042","214.6731100199042"
"28418","318","318","318","214.7034952209043","214.7034952209043","214.7034952209043"
"28854","319","319","319","235.5864785700613","235.5864785700613","235.5864785700613"
"29522","320","320","320","269.162825777731","269.162825777731","269.162825777731"
"30167","321","321","321","314.24301834526517","314.24301834526517","314.24301834526517"
"30443","322","322","322","333.5639745195273","333.5639745195273","333.5639745195273"
"30698","323","323","323","348.7517527400331","348.7517527400331","348.7517527400331"
"30992","324","324","324","368.0058642588571","368.0058642588571","368.0058642588571"
"31119","325","325","325","372.4495444540618","372.4495444540618","372.4495444540618"
"31353","326","326","326","384.963634763164","384.963634763164","384.963634763164"
"31731","327","327","327","409.62890684305245","409.62890684305245","409.62890684305245"
"32002","328","328","328","429.1501484520468","429.1501484520468","429.1501484520468"
"32348","329","329","329","445.12619029123596","445.12619029123596","445.12619029123596"
"32670","330","330","330","459.52113453350654","459.52113453350654","459.52113453350654"
"32967","331","331","331","478.5376620537282","478.5376620537282","478.5376620537282"
"33392","332","332","332","509.01876178314103","509.01876178314103","509.01876178314103"
"33479","333","333","333","511.76365862166085","511.76365862166085","511.76365862166085"
"33539","334","334","334","511.6770251628587","511.6770251628587","511.6770251628587"
"33597","335","335","335","512.1364660760269","512.1364660760269","512.1364660760269"
"33656","336","336","336","512.0367693552278","512.0367693552278","512.0367693552278"
"33709","337","337","337","512.0832351890309","512.0832351890309","512.0832351890309"
"33765","338","338","338","512.2112549449408","512.2112549449408","512.2112549449408"
"34031","339","339","339","520.176125649996","520.176125649996","520.176125649996"
"34359","340","340","340","536.7027314834439","536.7027314834439","536.7027314834439"
"34650","341","341","341","556.1425914003287","556.1425914003287","556.1425914003287"
"34980","342","342","342","575.2870803393066","575.2870803393066","575.2870803393066"
"35106","343","343","343","581.4120453763214","581.4120453763214","581.4120453763214"
"35204","344","344","344","586.4667435858752","586.4667435858752","586.4667435858752"
"35263","345","345","345","586.5311515390734","586.5311515390734","586.5311515390734"
"35316","346","346","346","586.344332769922","586.344332769922","586.344332769922"
"35364","347","347","347","585.7960311346064","585.7960311346064","585.7960311346064"
"35424","348","348","348","586.0440630805587","586.0440630805587","586.0440630805587"
"35542","349","349","349","543.7239665314728","543.7239665314728","543.7239665314728"
"35598","350","350","350","541.7346751901168","541.7346751901168","541.7346751901168"
"35651","351","351","351","541.834215382333","541.834215382333","541.834215382333"
"35718","352","352","352","541.8785519679957","541.8785519679957","541.8785519679957"
"35779","353","353","353","541.9399469411786","541.9399469411786","541.9399469411786"
"35839","354","354","354","541.6655954584035","541.6655954584035","541.6655954584035"
"35901","355","355","355","542.1761516126398","542.1761516126398","542.1761516126398"
"35954","356","356","356","541.5625948253459","541.5625948253459","541.5625948253459"
"36006","357","357","357","541.7150411305864","541.7150411305864","541.7150411305864"
"36060","358","358","358","541.6921822717164","541.6921822717164","541.6921822717164"
"36187","359","359","359","540.7816780790556","540.7816780790556","540.7816780790556"
"36250","360","360","360","540.7031297102966","540.7031297102966","540.7031297102966"
"36306","361","361","361","540.5311167665395","540.5311167665395","540.5311167665395"
"36359","362","362","362","539.869728174504","539.869728174504","539.869728174504"
"36417","363","363","363","540.7561713104101","540.7561713104101","540.7561713104101"
"36475","364","364","364","540.3555320209563","540.3555320209563","540.3555320209563"
"36533","365","365","365","541.2204870002839","541.2204870002839","541.2204870002839"
"36596","366","366","366","541.0477190700017","541.0477190700017","541.0477190700017"
"36661","367","367","367","541.9975135430212","541.9975135430212","541.9975135430212"
"36715","368","368","368","541.2314088674166","541.2314088674166","541.2314088674166"
"36846","369","369","369","520.2650310097137","520.2650310097137","520.2650310097137"
"36920","370","370","370","484.26500919988183","484.26500919988183","484.26500919988183"
"36983","371","371","371","438.9192748907199","438.9192748907199","438.9192748907199"
"37039","372","372","372","419.8338738648246","419.8338738648246","419.8338738648246"
"37088","373","373","373","404.1425884194596","404.1425884194596","404.1425884194596"
"37142","374","374","374","384.6636887427079","384.6636887427079","384.6636887427079"
"37192","375","375","375","380.0044275078875","380.0044275078875","380.0044275078875"
"37248","376","376","376","367.1736942085143","367.1736942085143","367.1736942085143"
"37301","377","377","377","342.6845496117255","342.6845496117255","342.6845496117255"
