"step_idx","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MIN","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MAX","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MIN","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MAX"
"5018","22","22","22","567.2927682063959","567.2927682063959","567.2927682063959"
"5078","23","23","23","549.9012820085841","549.9012820085841","549.9012820085841"
"5137","24","24","24","533.7683780258037","533.7683780258037","533.7683780258037"
"5188","25","25","25","518.2509723521838","518.2509723521838","518.2509723521838"
"5245","26","26","26","504.33687405588574","504.33687405588574","504.33687405588574"
"5308","27","27","27","492.0745472188028","492.0745472188028","492.0745472188028"
"5363","28","28","28","479.95716347328965","479.95716347328965","479.95716347328965"
"5465","29","29","29","471.7838866066479","471.7838866066479","471.7838866066479"
"5541","30","30","30","462.72587839718915","462.72587839718915","462.72587839718915"
"5607","31","31","31","453.2174998930805","453.2174998930805","453.2174998930805"
"5666","32","32","32","444.12574608771797","444.12574608771797","444.12574608771797"
"5720","33","33","33","434.87291681447226","434.87291681447226","434.87291681447226"
"5773","34","34","34","426.42386500688883","426.42386500688883","426.42386500688883"
"5832","35","35","35","418.45654693477934","418.45654693477934","418.45654693477934"
"5890","36","36","36","411.3764762036819","411.3764762036819","411.3764762036819"
"5946","37","37","37","404.06302890409125","404.06302890409125","404.06302890409125"
"5999","38","38","38","397.2623973271175","397.2623973271175","397.2623973271175"
"6109","39","39","39","392.6678199097231","392.6678199097231","392.6678199097231"
"6179","40","40","40","388.1841945830871","388.1841945830871","388.1841945830871"
"6238","41","41","41","382.0017896440889","382.0017896440889","382.0017896440889"
"6302","42","42","42","377.27745217133105","377.27745217133105","377.27745217133105"
"6356","43","43","43","371.5007932618416","371.5007932618416","371.5007932618416"
"6416","44","44","44","366.80956475373716","366.80956475373716","366.80956475373716"
"6468","45","45","45","361.48497792459074","361.48497792459074","361.48497792459074"
"6520","46","46","46","356.75228786858025","356.75228786858025","356.75228786858025"
"6574","47","47","47","352.01347819046833","352.01347819046833","352.01347819046833"
"6634","48","48","48","348.01700501405423","348.01700501405423","348.01700501405423"
"6717","49","49","49","344.9065976237822","344.9065976237822","344.9065976237822"
"6773","50","50","50","334.27841263847125","334.27841263847125","334.27841263847125"
"6824","51","51","51","204.28173017148288","204.28173017148288","204.28173017148288"
"6873","52","52","52","202.1675868187628","202.1675868187628","202.1675868187628"
"6922","53","53","53","188.12946719005092","188.12946719005092","188.12946719005092"
"6975","54","54","54","184.7840563779455","184.7840563779455","184.7840563779455"
"7032","55","55","55","184.38841391043673","184.38841391043673","184.38841391043673"
"7089","56","56","56","184.02274078081896","184.02274078081896","184.02274078081896"
"7148","57","57","57","183.5061768406406","183.5061768406406","183.5061768406406"
"7210","58","58","58","183.7638892021096","183.7638892021096","183.7638892021096"
"7303","59","59","59","169.23196180761693","169.23196180761693","169.23196180761693"
"7370","60","60","60","165.58341032580097","165.58341032580097","165.58341032580097"
"7428","61","61","61","156.17536676077646","156.17536676077646","156.17536676077646"
"7486","62","62","62","154.5819747661329","154.5819747661329","154.5819747661329"
"7540","63","63","63","154.37562507733654","154.37562507733654","154.37562507733654"
"7602","64","64","64","154.65944885929446","154.65944885929446","154.65944885929446"
"7663","65","65","65","155.06167816076197","155.06167816076197","155.06167816076197"
"7725","66","66","66","155.54310808671596","155.54310808671596","155.54310808671596"
"7779","67","67","67","155.3994380722938","155.3994380722938","155.3994380722938"
"7835","68","68","68","155.6110973753114","155.6110973753114","155.6110973753114"
"7927","69","69","69","155.5695866453933","155.5695866453933","155.5695866453933"
"7987","70","70","70","155.34934786385858","155.34934786385858","155.34934786385858"
"8049","71","71","71","155.38285052483567","155.38285052483567","155.38285052483567"
"8106","72","72","72","155.21404377098725","155.21404377098725","155.21404377098725"
"8167","73","73","73","155.44405269032765","155.44405269032765","155.44405269032765"
"8219","74","74","74","154.98624093502394","154.98624093502394","154.98624093502394"
"8272","75","75","75","155.17784423242395","155.17784423242395","155.17784423242395"
"8325","76","76","76","154.90653581763752","154.90653581763752","154.90653581763752"
"8381","77","77","77","154.60868990278934","154.60868990278934","154.60868990278934"
"8437","78","78","78","154.4469630560815","154.4469630560815","154.4469630560815"
"8534","79","79","79","153.89219607929027","153.89219607929027","153.89219607929027"
"8592","80","80","80","153.09845092338756","153.09845092338756","153.09845092338756"
"8645","81","81","81","152.5743269955903","152.5743269955903","152.5743269955903"
"8701","82","82","82","152.41353693545824","152.41353693545824","152.41353693545824"
"8751","83","83","83","152.25609014178318","152.25609014178318","152.25609014178318"
"8801","84","84","84","152.05532460380985","152.05532460380985","152.05532460380985"
"8850","85","85","85","151.57319450186748","151.57319450186748","151.57319450186748"
"8898","86","86","86","150.9968697018138","150.9968697018138","150.9968697018138"
"8953","87","87","87","150.98939525951155","150.98939525951155","150.98939525951155"
"9012","88","88","88","151.32674469961796","151.32674469961796","151.32674469961796"
"9112","89","89","89","151.64999972822343","151.64999972822343","151.64999972822343"
"9187","90","90","90","151.03736346188185","151.03736346188185","151.03736346188185"
"9250","91","91","91","151.83506051344864","151.83506051344864","151.83506051344864"
"9305","92","92","92","150.89840413941562","150.89840413941562","150.89840413941562"
"9360","93","93","93","151.29285017945165","151.29285017945165","151.29285017945165"
"9419","94","94","94","150.89172803674902","150.89172803674902","150.89172803674902"
"9473","95","95","95","151.23163652822882","151.23163652822882","151.23163652822882"
"9533","96","96","96","151.43398535284024","151.43398535284024","151.43398535284024"
"9592","97","97","97","151.82816700400244","151.82816700400244","151.82816700400244"
"9657","98","98","98","151.9680967832621","151.9680967832621","151.9680967832621"
"9754","99","99","99","152.54018656196916","152.54018656196916","152.54018656196916"
"9815","100","100","100","152.69252451250964","152.69252451250964","152.69252451250964"
"9868","101","101","101","153.0441899073475","153.0441899073475","153.0441899073475"
"9923","102","102","102","153.14581921630793","153.14581921630793","153.14581921630793"
"9974","103","103","103","153.38221098725998","153.38221098725998","153.38221098725998"
"10034","104","104","104","153.4566703172213","153.4566703172213","153.4566703172213"
"10094","105","105","105","153.5595733392299","153.5595733392299","153.5595733392299"
"10158","106","106","106","154.09700253070753","154.09700253070753","154.09700253070753"
"10215","107","107","107","154.09141955550714","154.09141955550714","154.09141955550714"
"10268","108","108","108","153.55164059768455","153.55164059768455","153.55164059768455"
"10359","109","109","109","153.39671822783882","153.39671822783882","153.39671822783882"
"10423","110","110","110","152.57144455758308","152.57144455758308","152.57144455758308"
"10479","111","111","111","152.33983224666898","152.33983224666898","152.33983224666898"
"10534","112","112","112","151.78659867065545","151.78659867065545","151.78659867065545"
"10592","113","113","113","151.81129397137502","151.81129397137502","151.81129397137502"
"10647","114","114","114","151.16731923221153","151.16731923221153","151.16731923221153"
"10699","115","115","115","150.78253163081538","150.78253163081538","150.78253163081538"
"10750","116","116","116","149.93812545220027","149.93812545220027","149.93812545220027"
"10807","117","117","117","150.19876627428962","150.19876627428962","150.19876627428962"
"10865","118","118","118","150.29711220933677","150.29711220933677","150.29711220933677"
"10955","119","119","119","149.96362531427408","149.96362531427408","149.96362531427408"
"11018","120","120","120","150.1546708518323","150.1546708518323","150.1546708518323"
"11083","121","121","121","150.1256716343911","150.1256716343911","150.1256716343911"
"11143","122","122","122","150.45684679076285","150.45684679076285","150.45684679076285"
"11201","123","123","123","150.00061832763402","150.00061832763402","150.00061832763402"
"11256","124","124","124","150.38225890053403","150.38225890053403","150.38225890053403"
"11308","125","125","125","150.09491371197865","150.09491371197865","150.09491371197865"
"11362","126","126","126","150.32872003797925","150.32872003797925","150.32872003797925"
"11421","127","127","127","150.29012432643395","150.29012432643395","150.29012432643395"
"11477","128","128","128","150.52893283285118","150.52893283285118","150.52893283285118"
"11571","129","129","129","150.97312808607006","150.97312808607006","150.97312808607006"
"11638","130","130","130","151.48183766919817","151.48183766919817","151.48183766919817"
"11695","131","131","131","151.5011971358125","151.5011971358125","151.5011971358125"
"11750","132","132","132","151.63844841688305","151.63844841688305","151.63844841688305"
"11802","133","133","133","151.54731319860528","151.54731319860528","151.54731319860528"
"11853","134","134","134","151.86120719752972","151.86120719752972","151.86120719752972"
"11909","135","135","135","152.07620467313245","152.07620467313245","152.07620467313245"
"11968","136","136","136","152.9302323738337","152.9302323738337","152.9302323738337"
"12019","137","137","137","152.52841770875423","152.52841770875423","152.52841770875423"
"12078","138","138","138","152.71513720100782","152.71513720100782","152.71513720100782"
"12182","139","139","139","152.36541976547275","152.36541976547275","152.36541976547275"
"12245","140","140","140","151.97256109533518","151.97256109533518","151.97256109533518"
"12301","141","141","141","151.55735337664507","151.55735337664507","151.55735337664507"
"12353","142","142","142","151.44680069168737","151.44680069168737","151.44680069168737"
"12408","143","143","143","151.47106334146704","151.47106334146704","151.47106334146704"
"12460","144","144","144","151.19986670598135","151.19986670598135","151.19986670598135"
"12520","145","145","145","151.515122152672","151.515122152672","151.515122152672"
"12580","146","146","146","151.50553817784672","151.50553817784672","151.50553817784672"
"12638","147","147","147","151.43394414860384","151.43394414860384","151.43394414860384"
"12691","148","148","148","150.78270332677582","150.78270332677582","150.78270332677582"
"12784","149","149","149","150.8222835084732","150.8222835084732","150.8222835084732"
"12856","150","150","150","151.0748135725127","151.0748135725127","151.0748135725127"
"12915","151","151","151","151.12702211771034","151.12702211771034","151.12702211771034"
"12969","152","152","152","151.27129615669256","151.27129615669256","151.27129615669256"
"13022","153","153","153","151.1165807517731","151.1165807517731","151.1165807517731"
"13086","154","154","154","151.70993340259182","151.70993340259182","151.70993340259182"
"13148","155","155","155","151.7630640318548","151.7630640318548","151.7630640318548"
"13208","156","156","156","151.37021362458546","151.37021362458546","151.37021362458546"
"13265","157","157","157","151.41280412132699","151.41280412132699","151.41280412132699"
"13323","158","158","158","151.5977210921868","151.5977210921868","151.5977210921868"
"13420","159","159","159","151.94017362753956","151.94017362753956","151.94017362753956"
"13480","160","160","160","151.78629992686743","151.78629992686743","151.78629992686743"
"13534","161","161","161","151.96665918614852","151.96665918614852","151.96665918614852"
"13611","162","162","162","152.21242635770662","152.21242635770662","152.21242635770662"
"14190","163","163","163","182.36644720610883","182.36644720610883","182.36644720610883"
"14498","164","164","164","197.1140976568686","197.1140976568686","197.1140976568686"
"14664","165","165","165","200.7539925204658","200.7539925204658","200.7539925204658"
"16785","166","166","166","328.5126592385261","328.5126592385261","328.5126592385261"
"17179","167","167","167","350.0418006158782","350.0418006158782","350.0418006158782"
"17946","168","168","168","394.9131284216658","394.9131284216658","394.9131284216658"
"18493","169","169","169","421.86626645355966","421.86626645355966","421.86626645355966"
"18941","170","170","170","446.1535066664948","446.1535066664948","446.1535066664948"
"19914","171","171","171","501.97249559840105","501.97249559840105","501.97249559840105"
"20128","172","172","172","514.3682641476527","514.3682641476527","514.3682641476527"
"20384","173","173","173","528.3402624037251","528.3402624037251","528.3402624037251"
"20476","174","174","174","531.3624006825947","531.3624006825947","531.3624006825947"
"20568","175","175","175","533.1726115475475","533.1726115475475","533.1726115475475"
"20669","176","176","176","536.1030877733261","536.1030877733261","536.1030877733261"
"20744","177","177","177","536.7270997801647","536.7270997801647","536.7270997801647"
"20822","178","178","178","537.7332136147311","537.7332136147311","537.7332136147311"
"20991","179","179","179","542.26751410285","542.26751410285","542.26751410285"
"21082","180","180","180","543.5071985173264","543.5071985173264","543.5071985173264"
"21273","181","181","181","551.7820688174857","551.7820688174857","551.7820688174857"
"21666","182","182","182","571.7441235251067","571.7441235251067","571.7441235251067"
"21772","183","183","183","575.776068194537","575.776068194537","575.776068194537"
"21863","184","184","184","577.8760035333454","577.8760035333454","577.8760035333454"
"21930","185","185","185","578.0449491185714","578.0449491185714","578.0449491185714"
"22003","186","186","186","578.6545666745195","578.6545666745195","578.6545666745195"
"22072","187","187","187","579.7327608766784","579.7327608766784","579.7327608766784"
"22140","188","188","188","579.7007901955874","579.7007901955874","579.7007901955874"
"22477","189","189","189","596.4988482572102","596.4988482572102","596.4988482572102"
"22537","190","190","190","596.0594430626744","596.0594430626744","596.0594430626744"
"22597","191","191","191","596.3639105962316","596.3639105962316","596.3639105962316"
"22649","192","192","192","596.2358185592191","596.2358185592191","596.2358185592191"
"22704","193","193","193","596.3408337557654","596.3408337557654","596.3408337557654"
"22757","194","194","194","596.3138767148696","596.3138767148696","596.3138767148696"
"22809","195","195","195","596.014753049255","596.014753049255","596.014753049255"
"22866","196","196","196","595.7264661486332","595.7264661486332","595.7264661486332"
"22922","197","197","197","595.8358470495954","595.8358470495954","595.8358470495954"
"22979","198","198","198","595.9340670094646","595.9340670094646","595.9340670094646"
"23151","199","199","199","599.897345187566","599.897345187566","599.897345187566"
"23295","200","200","200","605.6285102400818","605.6285102400818","605.6285102400818"
"23361","201","201","201","605.6041874277811","605.6041874277811","605.6041874277811"
"23431","202","202","202","606.5567694171411","606.5567694171411","606.5567694171411"
"23495","203","203","203","607.3866174129947","607.3866174129947","607.3866174129947"
"23552","204","204","204","606.5613604238969","606.5613604238969","606.5613604238969"
"23605","205","205","205","606.4711885144658","606.4711885144658","606.4711885144658"
"23658","206","206","206","605.7956105101794","605.7956105101794","605.7956105101794"
"23713","207","207","207","606.0410307767808","606.0410307767808","606.0410307767808"
"23773","208","208","208","605.7889570424051","605.7889570424051","605.7889570424051"
"24228","209","209","209","624.2427617764386","624.2427617764386","624.2427617764386"
"24403","210","210","210","629.3479995256307","629.3479995256307","629.3479995256307"
"24479","211","211","211","629.5584486724724","629.5584486724724","629.5584486724724"
"24545","212","212","212","630.0480605872123","630.0480605872123","630.0480605872123"
"24599","213","213","213","599.5560679047301","599.5560679047301","599.5560679047301"
"24658","214","214","214","585.2183888146432","585.2183888146432","585.2183888146432"
"24725","215","215","215","581.9910486094079","581.9910486094079","581.9910486094079"
"24784","216","216","216","454.69926689424227","454.69926689424227","454.69926689424227"
"24838","217","217","217","433.0406998587385","433.0406998587385","433.0406998587385"
"24891","218","218","218","387.7489605179591","387.7489605179591","387.7489605179591"
"25220","219","219","219","375.1822056185572","375.1822056185572","375.1822056185572"
"25377","220","220","220","358.5412688898781","358.5412688898781","358.5412688898781"
"25456","221","221","221","304.330331058572","304.330331058572","304.330331058572"
"25574","222","222","222","296.36856553858587","296.36856553858587","296.36856553858587"
"26101","223","223","223","311.342708411249","311.342708411249","311.342708411249"
"26215","224","224","224","313.83841918813346","313.83841918813346","313.83841918813346"
"26288","225","225","225","312.4447491302454","312.4447491302454","312.4447491302454"
"26386","226","226","226","311.86094793210555","311.86094793210555","311.86094793210555"
"26458","227","227","227","311.5492688345954","311.5492688345954","311.5492688345954"
"26522","228","228","228","311.02259421821384","311.02259421821384","311.02259421821384"
"26838","229","229","229","320.8253292473741","320.8253292473741","320.8253292473741"
"26922","230","230","230","319.81940019682906","319.81940019682906","319.81940019682906"
"27031","231","231","231","317.53820084458266","317.53820084458266","317.53820084458266"
"27117","232","232","232","298.71101292684637","298.71101292684637","298.71101292684637"
"27207","233","233","233","297.7847659197102","297.7847659197102","297.7847659197102"
"27269","234","234","234","295.40426609816905","295.40426609816905","295.40426609816905"
"27336","235","235","235","296.3375911521915","296.3375911521915","296.3375911521915"
"27398","236","236","236","295.10562660115926","295.10562660115926","295.10562660115926"
"27461","237","237","237","295.18970766092133","295.18970766092133","295.18970766092133"
"27521","238","238","238","294.74031112668604","294.74031112668604","294.74031112668604"
"27728","239","239","239","288.23482719221875","288.23482719221875","288.23482719221875"
"27849","240","240","240","292.96203532396464","292.96203532396464","292.96203532396464"
"28087","241","241","241","308.5131767850027","308.5131767850027","308.5131767850027"
"28481","242","242","242","338.2718808014368","338.2718808014368","338.2718808014368"
"28645","243","243","243","345.36951865705356","345.36951865705356","345.36951865705356"
"28754","244","244","244","348.9459235417988","348.9459235417988","348.9459235417988"
"29444","245","245","245","391.8428651135626","391.8428651135626","391.8428651135626"
"29606","246","246","246","399.8933052109945","399.8933052109945","399.8933052109945"
"29800","247","247","247","408.20978478040263","408.20978478040263","408.20978478040263"
"30048","248","248","248","422.74249675516296","422.74249675516296","422.74249675516296"
"30390","249","249","249","433.58323635974534","433.58323635974534","433.58323635974534"
"30597","250","250","250","439.25923183581307","439.25923183581307","439.25923183581307"
"30999","251","251","251","463.33682904248616","463.33682904248616","463.33682904248616"
"31202","252","252","252","475.60059361284164","475.60059361284164","475.60059361284164"
"31377","253","253","253","485.86335263213476","485.86335263213476","485.86335263213476"
"31798","254","254","254","517.4679355247786","517.4679355247786","517.4679355247786"
"32032","255","255","255","527.3138852797815","527.3138852797815","527.3138852797815"
"32168","256","256","256","534.1256248783047","534.1256248783047","534.1256248783047"
"32312","257","257","257","537.8953540932667","537.8953540932667","537.8953540932667"
"32572","258","258","258","553.3504736132132","553.3504736132132","553.3504736132132"
"34242","259","259","259","643.6228502324552","643.6228502324552","643.6228502324552"
"34386","260","260","260","645.0707921401454","645.0707921401454","645.0707921401454"
"35413","261","261","261","706.6503789811778","706.6503789811778","706.6503789811778"
"35810","262","262","262","732.7606686303168","732.7606686303168","732.7606686303168"
"36232","263","263","263","765.8201892256443","765.8201892256443","765.8201892256443"
"36380","264","264","264","772.2476572674555","772.2476572674555","772.2476572674555"
"36574","265","265","265","779.0982738725653","779.0982738725653","779.0982738725653"
"37136","266","266","266","811.4702426988646","811.4702426988646","811.4702426988646"
"37577","267","267","267","841.1846732719164","841.1846732719164","841.1846732719164"
"38306","268","268","268","886.7233586675953","886.7233586675953","886.7233586675953"
"38773","269","269","269","894.3099500866524","894.3099500866524","894.3099500866524"
"39224","270","270","270","913.5611991129937","913.5611991129937","913.5611991129937"
"39780","271","271","271","949.2447675129472","949.2447675129472","949.2447675129472"
"39937","272","272","272","948.219456806602","948.219456806602","948.219456806602"
"40055","273","273","273","921.3861698281994","921.3861698281994","921.3861698281994"
"41231","274","274","274","995.9393408909065","995.9393408909065","995.9393408909065"
"41883","275","275","275","1035.5171177105642","1035.5171177105642","1035.5171177105642"
"42728","276","276","276","1095.4987533073681","1095.4987533073681","1095.4987533073681"
"43034","277","277","277","1112.1634722373283","1112.1634722373283","1112.1634722373283"
"43625","278","278","278","1164.330954441659","1164.330954441659","1164.330954441659"
"46450","279","279","279","1340.1024681439083","1340.1024681439083","1340.1024681439083"
"46648","280","280","280","1350.5142762744438","1350.5142762744438","1350.5142762744438"
"47207","281","281","281","1378.7135956178515","1378.7135956178515","1378.7135956178515"
"47360","282","282","282","1384.6148365750964","1384.6148365750964","1384.6148365750964"
"47687","283","283","283","1400.5038218752973","1400.5038218752973","1400.5038218752973"
"47863","284","284","284","1410.1296663145652","1410.1296663145652","1410.1296663145652"
"48311","285","285","285","1448.4866080388517","1448.4866080388517","1448.4866080388517"
"48453","286","286","286","1450.7614279892891","1450.7614279892891","1450.7614279892891"
"48641","287","287","287","1463.7101046725552","1463.7101046725552","1463.7101046725552"
"48905","288","288","288","1483.2901517043313","1483.2901517043313","1483.2901517043313"
"49587","289","289","289","1514.2732574470053","1514.2732574470053","1514.2732574470053"
"50043","290","290","290","1541.417078210356","1541.417078210356","1541.417078210356"
"51907","291","291","291","1655.2068402434725","1655.2068402434725","1655.2068402434725"
"52070","292","292","292","1635.971608877781","1635.971608877781","1635.971608877781"
"52340","293","293","293","1643.3876273600026","1643.3876273600026","1643.3876273600026"
"52541","294","294","294","1650.1482022530822","1650.1482022530822","1650.1482022530822"
"53696","295","295","295","1677.2343314143209","1677.2343314143209","1677.2343314143209"
"54637","296","296","296","1734.315250686887","1734.315250686887","1734.315250686887"
"54930","297","297","297","1740.8258359755089","1740.8258359755089","1740.8258359755089"
"55232","298","298","298","1746.4908869196736","1746.4908869196736","1746.4908869196736"
"55652","299","299","299","1757.178318963689","1757.178318963689","1757.178318963689"
"55848","300","300","300","1757.656647390129","1757.656647390129","1757.656647390129"
"56449","301","301","301","1771.2526313636406","1771.2526313636406","1771.2526313636406"
"58280","302","302","302","1883.604927537067","1883.604927537067","1883.604927537067"
"59064","303","303","303","1925.6096287697208","1925.6096287697208","1925.6096287697208"
"59498","304","304","304","1923.8245346719716","1923.8245346719716","1923.8245346719716"
"60842","305","305","305","1999.7072493827927","1999.7072493827927","1999.7072493827927"
"61262","306","306","306","2020.4176029280843","2020.4176029280843","2020.4176029280843"
"62109","307","307","307","2067.882334241274","2067.882334241274","2067.882334241274"
"62995","308","308","308","2114.3764484120347","2114.3764484120347","2114.3764484120347"
"63491","309","309","309","2037.1079204282207","2037.1079204282207","2037.1079204282207"
"64086","310","310","310","2075.579692688111","2075.579692688111","2075.579692688111"
"64371","311","311","311","2028.7805642567414","2028.7805642567414","2028.7805642567414"
"64914","312","312","312","2033.100113440562","2033.100113440562","2033.100113440562"
"65103","313","313","313","2014.1444723725785","2014.1444723725785","2014.1444723725785"
"65330","314","314","314","2021.8056732476084","2021.8056732476084","2021.8056732476084"
"65987","315","315","315","2053.4225586736593","2053.4225586736593","2053.4225586736593"
"66186","316","316","316","2033.6764357699626","2033.6764357699626","2033.6764357699626"
"67136","317","317","317","2077.9645800543694","2077.9645800543694","2077.9645800543694"
"67406","318","318","318","2049.2695557898537","2049.2695557898537","2049.2695557898537"
"67587","319","319","319","2034.9101970207748","2034.9101970207748","2034.9101970207748"
"67805","320","320","320","2021.3581110710281","2021.3581110710281","2021.3581110710281"
"68380","321","321","321","2021.0501619715774","2021.0501619715774","2021.0501619715774"
"68565","322","322","322","2027.359994826535","2027.359994826535","2027.359994826535"
"68695","323","323","323","2031.9371575709488","2031.9371575709488","2031.9371575709488"
"68886","324","324","324","1963.5547941498348","1963.5547941498348","1963.5547941498348"
"69245","325","325","325","1939.483874952698","1939.483874952698","1939.483874952698"
"69409","326","326","326","1882.9571688357755","1882.9571688357755","1882.9571688357755"
"69800","327","327","327","1899.0086416934857","1899.0086416934857","1899.0086416934857"
"71055","328","328","328","1934.3980197598937","1934.3980197598937","1934.3980197598937"
"71363","329","329","329","1758.2602944924001","1758.2602944924001","1758.2602944924001"
"72531","330","330","330","1825.4828355395387","1825.4828355395387","1825.4828355395387"
"72917","331","331","331","1815.2440507050567","1815.2440507050567","1815.2440507050567"
"73375","332","332","332","1832.566460373409","1832.566460373409","1832.566460373409"
"73487","333","333","333","1818.3076952251881","1818.3076952251881","1818.3076952251881"
"73636","334","334","334","1817.917918132745","1817.917918132745","1817.917918132745"
"74337","335","335","335","1826.2447642386846","1826.2447642386846","1826.2447642386846"
"74626","336","336","336","1840.8413392673317","1840.8413392673317","1840.8413392673317"
"74992","337","337","337","1855.3061363261843","1855.3061363261843","1855.3061363261843"
"75110","338","338","338","1840.8065035208806","1840.8065035208806","1840.8065035208806"
"75378","339","339","339","1813.4238464569708","1813.4238464569708","1813.4238464569708"
"75878","340","340","340","1812.090244931645","1812.090244931645","1812.090244931645"
"76197","341","341","341","1704.8295360221032","1704.8295360221032","1704.8295360221032"
"77334","342","342","342","1770.0874085176824","1770.0874085176824","1770.0874085176824"
"77791","343","343","343","1786.4371682310389","1786.4371682310389","1786.4371682310389"
"77996","344","344","344","1788.164867179811","1788.164867179811","1788.164867179811"
"79139","345","345","345","1789.5135752359358","1789.5135752359358","1789.5135752359358"
"79405","346","346","346","1741.208045271475","1741.208045271475","1741.208045271475"
"80262","347","347","347","1788.2080614070853","1788.2080614070853","1788.2080614070853"
"81830","348","348","348","1885.8781741421046","1885.8781741421046","1885.8781741421046"
"82190","349","349","349","1883.1589111421895","1883.1589111421895","1883.1589111421895"
"82484","350","350","350","1886.733655680578","1886.733655680578","1886.733655680578"
"82700","351","351","351","1865.058768580153","1865.058768580153","1865.058768580153"
"83307","352","352","352","1781.138009053763","1781.138009053763","1781.138009053763"
"83672","353","353","353","1740.5656033430507","1740.5656033430507","1740.5656033430507"
"83862","354","354","354","1717.8996284129287","1717.8996284129287","1717.8996284129287"
"84092","355","355","355","1647.3299720597147","1647.3299720597147","1647.3299720597147"
"84482","356","356","356","1642.2175526207427","1642.2175526207427","1642.2175526207427"
"85675","357","357","357","1682.7576720411214","1682.7576720411214","1682.7576720411214"
"86105","358","358","358","1645.7694985525702","1645.7694985525702","1645.7694985525702"
"87169","359","359","359","1688.7279237487753","1688.7279237487753","1688.7279237487753"
"87345","360","360","360","1653.4218047155584","1653.4218047155584","1653.4218047155584"
"87442","361","361","361","1640.4497869015759","1640.4497869015759","1640.4497869015759"
"87965","362","362","362","1648.1273666513227","1648.1273666513227","1648.1273666513227"
"88091","363","363","363","1641.4080844924997","1641.4080844924997","1641.4080844924997"
"88181","364","364","364","1629.6151184300563","1629.6151184300563","1629.6151184300563"
"88574","365","365","365","1620.1692031381858","1620.1692031381858","1620.1692031381858"
"88666","366","366","366","1609.925188066472","1609.925188066472","1609.925188066472"
"88786","367","367","367","1545.0527570072143","1545.0527570072143","1545.0527570072143"
"89129","368","368","368","1548.6630646333863","1548.6630646333863","1548.6630646333863"
"89418","369","369","369","1558.7670879314287","1558.7670879314287","1558.7670879314287"
"89751","370","370","370","1568.795827714041","1568.795827714041","1568.795827714041"
"89864","371","371","371","1536.988832448131","1536.988832448131","1536.988832448131"
